"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
Болт с потайной головкой и внутренним шестигранником М4x50 А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1, '50': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М6x30 А4 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М6x30 нерж.А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М6x80 нерж.А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '80': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М8x40 А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М8x40 нерж.А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М10х20 А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '20': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М10х40 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '40': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М10х45 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '45': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М12х30 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '30': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М12х35 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '35': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М12х40 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '40': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М12х50 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '50': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М4х16 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М6х16 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М6х30 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М8х16 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '16': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М8х25 А4 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '25': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М8х30 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М8х35 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '35': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М8х50 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с цилиндрической головкой и внутренним шестигранником М8х90 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '90': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
"Болт с шестигранной головкой 8,8 М8х70 цинк DIN 933 ГОСТ 7798-70","{'din': '933', 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'8': 1, '70': 1}), 'K': {'болт', 'головка'}}"
Болт с шестигранной головкой M10 X 45 HEX BOLT STST A4-70 071-09-085__НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1, '45': 1, 'hex': 1, 'bolt': 1, 'stst': 1, '071': 1, '09': 1, '085': 1}), 'K': {'болт', 'головка'}}"
Болт с шестигранной головкой M12 X 40 HEX BOLT STST A4-80 071-09-105__НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'12': 1, '40': 1, 'hex': 1, 'bolt': 1, 'stst': 1, '071': 1, '09': 1, '105': 1}), 'K': {'болт', 'головка'}}"
Болт с шестигранной головкой M6 X 35 HEX BOLT STST A4-70 071-09-032__НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '35': 1, 'hex': 1, 'bolt': 1, 'stst': 1, '071': 1, '09': 1, '032': 1}), 'K': {'болт', 'головка'}}"
Болт с шестигранной головкой M8 x 135 HEX HEAD BOLT ST A4-70 071-09-076_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '135': 1, 'hex': 1, 'head': 1, 'bolt': 1, 'st': 1, '071': 1, '09': 1, '076': 1}), 'K': {'болт', 'головка'}}"
Болт с шестигранной головкой NAS 6403U7 002-1873,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'nas': 1, '6403': 1, '7': 1, '002': 1, '1873': 1}), 'K': {'болт', 'головка'}}"
Болт с шестигранной головкой NAS 6404U1 002-0038,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'nas': 1, '6404': 1, '1': 1, '002': 1, '0038': 1}), 'K': {'болт', 'головка'}}"
Болт с шестигранной головкой NAS 640643 002-1628,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'nas': 1, '640643': 1, '002': 1, '1628': 1}), 'K': {'болт', 'головка'}}"
"Болт с шестигранной головкой и мелкой резьбой М16х1,5х40 оцинкованный ГОСТ 7798-70","{'din': None, 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '1,5': 1, '40': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резъбой М12х45 А2 DIN 933 / ISO 4017,"{'din': '933', 'gost': None, 'iso': '4017', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '45': 1}), 'K': {'болт', 'головка', 'резъбой'}}"
Болт с шестигранной головкой и полной резьбой 8.8 М16х140 цинк DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'16': 1, '140': 1}), 'K': {'болт', 'головка', 'резьба'}}"
"""Болт с шестигранной головкой и полной резьбой ART 83933 DIN 933 3/4"""" UNF x 2"""" 51 мм""","{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'art': 1, '83933': 1, '3': 1, '4': 1, 'unf': 1, '2': 1, '51': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой ART 83933 DIN 933 64 мм,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'art': 1, '83933': 1, '64': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter(), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой M8х30 A2 DIN933_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М 10х65. 8.8 цинк DIN 933 10х65_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'10': 2, '65.': 1, '65': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х100 нержавеющая сталь А2 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '100': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х100 оцинкованный DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '100': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х120 нержавеющая сталь А4 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1, '120': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х120 оцинкованный DIN 933 ГОСТ 7798-70,"{'din': '933', 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '120': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х160 А2-нерж DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '160': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х180 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '180': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х20 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '20': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х200 A2 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '200': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х30 оцинкованный DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '30': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х35 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '35': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х35 А4-80 нержавеющий DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1, '35': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт с шестигранной головкой и полной резьбой М10х40 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '40': 1}), 'K': {'болт', 'головка', 'резьба'}}"
